mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
castar,"Fort, résistant, (aussi bien pour un être vivant qu'un objet ou autre). | Personne vigoureuse, costaud.",non,non
castard,Variante de castar.,non,non
castarde,Variante de castar.,non,oui
cavitche,"Café, bistro.",non,non
cavitje,"Café, bistro.",non,non
cenne,Pièce de deux centimes.,non,oui
cense,"Métairie, ferme. Prononciation : cinse",non,non
cercle,"Endroit où se retrouvent des étudiants dans un but festif, bibitif et culturel.",non,oui
cercueil,Bière légère à laquelle on ajoute un peu de coca.,non,oui
chaisard,Personne se déplaçant en chaise roulante.,non,non
chaisarde,Personne de genre féminin se déplaçant en chaise roulante.,non,non
chambourlette,Invité de la Ducasse de Mons étrangers à la ville,non,non
chamoisette,Chamoisine.,non,non
chantoir,"Fossé, cavité, excavation, gouffre où se déverse un cours d’eau.",non,non
chapelle,Coffret électrique de chantier.,non,oui
charbonnier,Mineur qui travaille aux mines de houille.,non,oui
charbonnière,Seau à charbon.,non,oui
charriable,Qualifie une voie sur la quelle l'on peut faire rouler un charriot.,non,oui
chasser,"Souffler, en parlant de courant d'air dans une maison.",non,oui
chaude-hoie,Nom ancien de la houille grasse.,non,non
chaussée,"Voie de circulation reliant généralement deux villes, deux bourgs.",non,oui
chavée,"Dépression allongée creusée dans le calcaire, vallée.",non,non
chef-lieu,Centre administratif de chacune des dix provinces belges.,non,oui
chemisette,Vêtement ou sous-vêtement sans col ni manches.,non,oui
chiclet,"Chewing-gum, gomme à mâcher.",non,oui
chiclette,"Gomme à mâcher, chewing-gum.",non,non
chicon,Endive.,non,oui
chienne,Cheveux formant une sorte de frange sur le front.,non,oui
chipoter,"Tergiverser. | Tripoter, fouiller.",non,oui
chique,"Gomme à mâcher. | (région de Liège) Bonbon, sucrerie.",non,oui
chiquelette,Chewing-gum.,non,non
chiquer,Mâcher un chewing-gum.,non,oui
choco,Pâte à tartiner chocolatée.,non,oui
choesels,"Plat typiquement bruxellois à base de divers abats de bovins, principalement des pancréas, mais aussi des testicules et des tripes, ris, rognons, etc.",non,non
choke,Starter sur une automobile.,non,oui
chope,Bière légère.,non,oui
chouke,Nom affectueux donné à quelqu’un (principalement à Bruxelles).,non,non
chèvre-choutiste,Variante orthographique de chèvrechoutiste,non,non
chèvrechoutiste,"Qui tente de faire plaisir à tout le monde, ou de réconcilier des options divergentes.",non,non
cigare,Réprimande ; engueulade.,non,oui
clabot,Clochette attachée au cou du bétail qu’on menait paître dans les bois.,non,oui
clacher,"Lancer (de la peinture, de la bière ou autre chose) quelque part.",non,non
